Uma redução no imposto sobre um bem com demanda inelástica e oferta elástica beneficia mais os consumidores.;Certo. A maior parte do benefício vai para os consumidores, pois a demanda inelástica significa que eles continuam comprando mesmo com variações de preço.;
2. Um imposto sobre produtos viciantes tem pouca incidência sobre os consumidores, pois sua demanda é elástica.;Errado. Produtos viciantes têm demanda inelástica, portanto o imposto é repassado em grande parte aos consumidores.;
3. A demanda perfeitamente inelástica significa que os consumidores compram a mesma quantidade, independentemente do preço.;Certo. Nesse caso, os consumidores aceitam qualquer preço, pois não há substitutos.;
4. A elasticidade-preço da demanda mede a variação da receita total de uma firma.;Errado. A elasticidade-preço mede a variação percentual da quantidade demandada em resposta à variação percentual no preço, não a receita diretamente.;
5. Com elasticidades unitárias na oferta e na demanda, o imposto é dividido igualmente entre consumidores e produtores.;Certo. Quando ambas as curvas têm elasticidade unitária, o ônus do imposto é igualmente compartilhado.;
6. Quando a oferta é perfeitamente inelástica, toda a carga do imposto recai sobre os produtores.;Certo. Eles não conseguem ajustar a quantidade ofertada, então absorvem o tributo.;
7. A elasticidade-renda da demanda unitária indica que um aumento de 10% na renda aumenta a demanda em 5%.;Errado. Se for unitária, um aumento de 10% na renda aumenta a demanda em exatamente 10%.;
8. Um aumento no imposto sobre bens com demanda perfeitamente elástica afeta apenas os consumidores.;Errado. Os produtores não conseguem repassar o imposto, então o ônus recai sobre eles.;
9. Em mercados de concorrência perfeita, tributos não afetam o preço de equilíbrio.;Errado. Tributos alteram o preço de equilíbrio ao afetar a oferta e a demanda.;
10. Quando a oferta é elástica e a demanda é inelástica, o imposto recai mais sobre os consumidores.;Certo. Os consumidores mantêm o consumo, mesmo com o preço mais alto.;
11. O conceito de elasticidade mede o grau de resposta de uma variável frente à mudança de outra.;Certo. É uma razão percentual entre variações relativas.;
12. A elasticidade-preço da oferta é maior no longo prazo do que no curto prazo.;Certo. As firmas têm mais tempo para ajustar sua produção no longo prazo.;
13. O bem-estar total da sociedade sempre aumenta com a introdução de impostos.;Errado. Impostos geram perda de peso morto, reduzindo o bem-estar total.;
