O setor industrial dominava a economia brasileira no século XIX.;❌ Errado. A economia era dominada pelo setor primário, especialmente pela agropecuária e exportação de produtos agrícolas.
O café se tornou o principal produto de exportação brasileira a partir da década de 1830.;✅ Certo. A partir de 1830, o café superou os demais produtos e se consolidou como o principal item da pauta exportadora.
Em 1821-22, produtos como café, açúcar, algodão e fumo representavam dois terços das exportações brasileiras.;✅ Certo. Esses produtos respondiam por aproximadamente ⅔ das exportações no início do Império.
A borracha já era o principal produto exportado do Brasil em 1821.;❌ Errado. A borracha só se tornou relevante a partir de 1850, crescendo especialmente nas décadas seguintes.
Em 1880, São Paulo já era o maior produtor de café do Brasil.;❌ Errado. Embora estivesse crescendo, São Paulo ainda ficava atrás do Rio de Janeiro em 1880 (Rio: 41%, SP: 35%).
As exportações de açúcar aumentaram sua participação durante o Império.;❌ Errado. A participação do açúcar nas exportações caiu de 30% para 10% ao longo do Império.
O algodão teve um pico de produção na década de 1870 devido à Guerra de Secessão nos EUA.;✅ Certo. A guerra nos EUA impulsionou a produção brasileira, com pico em 1870 (62 mil toneladas).
A Bahia foi o principal centro produtor e exportador de fumo no Império.;✅ Certo. A Bahia dominava a produção e exportação de fumo no período.
As exportações de couros e peles aumentaram no final do século XIX.;❌ Errado. Caíram de ⅔ para apenas 4% das exportações até o fim dos anos 1880.
O Rio Grande do Sul era o principal produtor de couros e peles.;✅ Certo. O estado gaúcho liderava a produção desse item.
A borracha se tornou importante nas exportações brasileiras a partir de 1850.;✅ Certo. A borracha cresceu significativamente, especialmente na Amazônia, após 1850.
A economia imperial brasileira era predominantemente industrial.;❌ Errado. Era majoritariamente agrícola, com indústria incipiente.
O tratado de 1827 com a Grã-Bretanha beneficiou a indústria nacional.;❌ Errado. Ao manter a tarifa de importação em 15%, prejudicou a indústria e beneficiou produtos estrangeiros.
A indústria brasileira passou a se desenvolver fortemente já durante o Império.;❌ Errado. A industrialização mais expressiva só ocorreu após o início da República.
Em 1889, a produção de têxteis no Brasil supria 100% da demanda nacional.;❌ Errado. Supria apenas cerca de 15% da demanda doméstica por tecidos.
O estaleiro de Ponta d’Areia foi uma das indústrias notáveis do período imperial.;✅ Certo. Foi uma das indústrias relevantes, ao lado dos arsenais da Marinha e do Exército.
A mineração de ouro teve seu auge na década de 1850.;✅ Certo. Foi o pico da atividade mineradora no Império, antes do declínio gradual.
A St. John del Rey Mining Company operava a mina de Gongo Soco.;❌ Errado. Essa mina era operada pela Imperial Brazilian Mining Company. A St. John operava Morro Velho.
As três principais companhias britânicas produziam cerca de 10 toneladas de ouro por ano.;❌ Errado. Produziam aproximadamente 1,5 tonelada por ano na década de 1840.
As exportações de ouro e diamantes representavam menos de 1% do total no fim do século XIX.;✅ Certo. Houve grande declínio, passando de 5% em 1850 para menos de 1% em 1880.
Em 1870, o Brasil já contava com mais de 9 mil km de ferrovias.;❌ Errado. Em 1870, havia apenas 700 km. O número só chegou a 9.583 km em 1889.
O capital estrangeiro, especialmente britânico, foi fundamental para o desenvolvimento da infraestrutura urbana no Império.;✅ Certo. Investimentos externos foram essenciais em serviços como gás, água, esgoto, bondes, energia e transporte.
O setor público empregava cerca de 200 mil funcionários no Brasil imperial.;❌ Errado. O setor público era modesto, com menos de 20 mil funcionários. O censo de 1872 indicava 10.710 civis e 27.716 militares.
Dois terços da população economicamente ativa estava empregada na agricultura durante o Império.;✅ Certo. O emprego rural era predominante.
A imigração europeia foi intensa entre 1822 e 1850, com mais de 200 mil entradas registradas.;❌ Errado. Nesse período, a imigração foi modesta, com apenas cerca de 15 mil imigrantes.
Colônias agrícolas como Nova Friburgo e Leopoldina foram iniciativas do governo para atrair imigrantes europeus.;✅ Certo. Essas colônias foram fundadas com esse objetivo, especialmente com alemães e suíços.
A fundação de Petrópolis (1845) e Santa Isabel (1847) ocorreu no contexto da imigração europeia.;✅ Certo. Ambas foram parte das políticas de colonização com imigrantes.
A partir de 1850, com o fim do tráfico negreiro, houve aumento da imigração europeia.;✅ Certo. Especialmente para São Paulo e o Sul, como forma de substituir o trabalho escravo.
Os contratos de “parceria” no café foram bem-sucedidos e mantidos até o fim do século XIX.;❌ Errado. Esses contratos fracassaram devido a abusos dos fazendeiros e endividamento dos imigrantes.
Entre 1887 e 1889, chegaram ao Brasil cerca de 252 mil imigrantes, a maioria indo para São Paulo.;✅ Certo. Desse total, 152 mil imigrantes foram para São Paulo.
A Lei Paulista de 1884 determinou o fim do trabalho escravo no estado.;❌ Errado. A lei previa o pagamento das passagens de imigrantes europeus, facilitando a transição para o trabalho assalariado.
A Lei do Ventre Livre (1871) determinava a libertação de todos os escravos nascidos antes dessa data.;❌ Errado. Libertava apenas os filhos de escravos nascidos após 1871.
A seca de 1877-79 contribuiu para o colapso econômico do Nordeste e o fim da escravidão.;✅ Certo. A crise econômica e social foi um dos fatores que aceleraram o fim do regime escravista.
O tráfico interprovincial de escravos levou cerca de 200 mil cativos do Nordeste ao Sudeste entre 1851 e 1881.;✅ Certo. Esse deslocamento foi uma consequência do fim do tráfico atlântico e da alta demanda na região cafeeira.
A hipótese de Domar afirma que podem coexistir livremente terra disponível, camponeses livres e senhores de terras ociosos.;❌ Errado. A hipótese afirma que apenas dois desses três elementos podem coexistir ao mesmo tempo.
A Lei de Terras de 1850 facilitou o acesso à terra para libertos e pequenos proprietários.;❌ Errado. Ela dificultou o acesso à terra, pois passou a exigir compra, beneficiando os grandes proprietários.
A colonização do Sul do Brasil se deu com base em pequenas propriedades adquiridas por famílias europeias.;✅ Certo. A política foi voltada para pequenas propriedades familiares e produção de excedentes.
Após 1870, a política fundiária na região cafeeira priorizou pequenas propriedades para imigrantes.;❌ Errado. A prioridade era fornecer mão de obra para grandes fazendas, não distribuir terras.
A estrutura fundiária brasileira manteve a predominância dos latifúndios durante todo o século XIX.;✅ Certo. Grandes propriedades permaneceram dominantes mesmo após a abolição.
A expansão do café impulsionou a construção de ferrovias, portos e telégrafos.;✅ Certo. A logística da produção cafeeira exigiu grandes investimentos em infraestrutura.
O investimento ferroviário no Brasil durante o Império foi realizado apenas por capital estrangeiro.;❌ Errado. Houve investimentos do governo central, governos provinciais e capitalistas brasileiros, além do capital estrangeiro.
A Central do Brasil, uma das principais ferrovias do Império, recebeu cerca de £9,7 milhões em investimentos.;✅ Certo. A Central do Brasil foi financiada pelo governo imperial com esse valor até o final do Império.
