A doutrina dos juristas mais qualificados é considerada uma fonte formal do Direito Internacional.;❌ Errado. A doutrina é considerada meio auxiliar para a determinação das regras de direito, segundo o art. 38(1)(d) do Estatuto da CIJ.
Os costumes internacionais são considerados fonte primária do Direito Internacional Público.;✅ Certo. O art. 38(1)(b) do Estatuto da CIJ reconhece o costume internacional como fonte, desde que haja prática geral e aceitação como direito.
A Constituição Federal de 1988 prevê a prevalência dos direitos humanos nas relações internacionais do Brasil.;✅ Certo. Isso está previsto expressamente no art. 4º, inciso II da CF/88.
As decisões da CIJ são obrigatórias para todos os Estados-membros da ONU.;❌ Errado. Conforme o art. 59 do Estatuto da CIJ, as decisões só obrigam as partes no caso concreto.
O Brasil adota, segundo a jurisprudência majoritária, o monismo com primazia do Direito Internacional.;❌ Errado. O Brasil adota uma forma de dualismo moderado, exigindo incorporação formal dos tratados ao ordenamento interno.
O art. 4º da CF/88 enumera princípios que regem o Brasil nas relações internacionais, como autodeterminação dos povos e solução pacífica dos conflitos.;✅ Certo. Esses princípios estão expressamente listados no art. 4º da CF/88.
O pacta sunt servanda é um princípio específico do Direito Internacional Privado.;❌ Errado. Trata-se de um princípio geral do Direito Internacional Público, que impõe o cumprimento dos tratados.
Os princípios gerais do direito são fontes auxiliares e não principais do Direito Internacional.;❌ Errado. São fontes principais, conforme o art. 38(1)(c) do Estatuto da CIJ.
O costume internacional é formado exclusivamente pela prática reiterada dos Estados.;❌ Errado. Além da prática reiterada, é necessário o elemento subjetivo (opinio juris), ou seja, a convicção de obrigatoriedade jurídica.
O consentimento dos Estados é essencial na teoria voluntarista do Direito Internacional.;✅ Certo. O voluntarismo considera que a norma internacional obriga apenas quando o Estado consente.
O Brasil pode se recusar a aplicar norma internacional que contradiga a Constituição.;"✅ Certo. No controle de constitucionalidade, prevalece a Constituição; tratados não têm status superior à CF."
As fontes do Direito Internacional Privado são as mesmas do Direito Internacional Público.;❌ Errado. As fontes podem coincidir, mas o DIPr tem fontes próprias, como a legislação interna e convenções específicas sobre conflitos de leis.
A Lei de Introdução às Normas do Direito Brasileiro (LINDB) trata da aplicação do direito estrangeiro no Brasil.;✅ Certo. A LINDB disciplina a aplicação das normas de direito estrangeiro, inclusive em casos de conflitos de leis.
