Os liberais entendem que o poder está baseado na disposição dos Estados para gastar seus recursos ou realizar concessões em função de suas preferências, ou seja, trata-se de uma concepção essencialmente voltada à barganha e à negociação.;CERTO
Durante o governo de Jimmy Carter, os EUA reconheceram o governo da República Popular da China (RPC) como o único governo legal da China e estabeleceram relações diplomáticas com a RPC, rompendo relações diplomáticas com Taiwan e denunciando o Tratado de Defesa Mútua entre os EUA e a República da China.;CERTO
Antes mesmo da eclosão da Guerra do Yom Kippur, ocorrida em outubro de 1973, a política externa brasileira já havia promovido iniciativas de aproximação com o Oriente Médio, visando a incrementar as exportações brasileiras e garantir o abastecimento de petróleo, objetivos refletidos na viagem do chanceler Gibson Barbosa à região no início de 1973.;CERTO
Para que pudesse ser admitida como membro pleno do BRICS, a Indonésia primeiramente teve de aderir às instituições do agrupamento, que são o Banco do BRICS e o Arranjo Contingente de Reservas.;CERTO
O Brasil aderiu ao Segundo Protocolo Facultativo ao Pacto Internacional sobre Direitos Civis e Políticos, que trata da abolição da pena de morte, com reserva ao artigo 2º, que trata da possibilidade de aplicação da pena de morte em tempo de guerra.;CERTO
A resolução 2254 do Conselho de Segurança das Nações Unidas, aprovada em 2015, reconheceu a aplicação da doutrina da responsabilidade de proteger à crise política na Síria, atribuindo à ONU a responsabilidade primária de proteger a população síria contra a violência e os crimes mais graves, tais como genocídio, crimes de guerra e crimes contra a humanidade.;E
;
;
;
Proposto pela presidência brasileira do G20, o “Chamado à Ação sobre a Reforma da Governança Global” foi o primeiro documento plenamente consensual a ser aprovado em uma reunião de ministros das Relações Exteriores do grupo, traçando perspectivas e prioridades para as reformas da ONU, da arquitetura financeira internacional e do sistema multilateral de comércio.;CERTO
Embora não tenha sido membro fundador da Organização dos Estados Americanos (OEA), a Venezuela aderiu à OEA na presidência de Hugo Chávez, cuja política externa foi caracterizada pela ênfase às relações Sul-Sul e à integração regional sob a égide interamericana.;ERRADO
Na presidência de Jânio Quadros, em 1961, foi criado o Instituto Brasileiro de Estudos Afro-Asiáticos (IBEAA) como centro de altos estudos subordinado à Presidência da República e destinado a facilitar e a incrementar as relações entre o Brasil e os países da África e da Ásia.;CERTO
A política do “pragmatismo responsável”, iniciada pelo presidente Ernesto Geisel em 1974, abandonou o alinhamento automático aos Estados Unidos e promoveu laços não ideológicos com o Terceiro Mundo e com países socialistas, como demonstraram as políticas adotadas pelo governo Geisel no sentido de estabelecer as relações diplomáticas com a República Popular da China e com Angola e restabelecer as relações diplomáticas com Cuba.;CERTO
Do fim da Segunda Guerra Mundial até meados da década de 1970, a política externa brasileira manteve-se ativa e engajada quanto aos acontecimentos no Oriente Médio, posicionamento decorrente de fatores como os baixos impactos da Guerra Fria sobre essa região, a postura independente da política externa brasileira no período e a presença de interesses imediatos do Brasil no Oriente Médio.;CERTO
;
Segundo o IPCC, para lograr a limitação do aquecimento global ao patamar de até 1,5ºC acima dos níveis pré-industriais, seria necessário promover não apenas a rápida redução de gases de efeito estufa, mas também o fortalecimento da cooperação internacional e o aumento da ambição conjunta dos países para além de suas atuais Contribuições Nacionalmente Determinadas sob o Acordo de Paris.;CERTO
A Nigéria foi admitida como nono “país parceiro” do BRICS, podendo participar das reuniões de cúpula e de ministros das Relações Exteriores, integrar outros foros de discussão do BRICS e endossar declarações conjuntas e documentos do agrupamento.;CERTO
O BRICS pode ser definido como um foro de cooperação, diálogo e articulação diplomática entre países do Sul Global, estando ausente de seus propósitos o fortalecimento de posições políticas para democratizar e equilibrar a ordem internacional, dada a ausência de contornos geopolíticos clássicos no BRICS.;ERRADO
No contexto da Política Externa Independente, o governo brasileiro enviou Afonso Arinos como seu representante oficial à I Conferência dos Países Não Alinhados, realizada em Belgrado, em 1961, ocasião em que o Brasil foi admitido como membro pleno do Movimento dos Não Alinhados.;ERRADO
O embaixador André Corrêa do Lago foi designado presidente da 30ª Conferência das Partes da Convenção-Quadro das Nações Unidas sobre Mudança do Clima (COP30 da UNFCCC), refletindo o compromisso do Brasil com a agenda global de desenvolvimento sustentável e a liderança nas negociações climáticas internacionais.;CERTO
;
;
Em seu primeiro Relatório Bienal de Transparência (BTR) sob o Acordo de Paris, apresentado em 2024, o Brasil identificou como fatores de vulnerabilidade nacional à mudança do clima não só a diversidade climática e o vasto território, mas também a longa zona costeira com alta densidade populacional, a economia baseada na agricultura, a presença da maior floresta tropical do mundo e os altos índices de pobreza e de desigualdades socioeconômicas e regionais.;CERTO
A partir da segunda metade da década de 1970, a diplomacia cultural conduzida pelo Itamaraty conferiu decisivo apoio ao esforço de comercialização do cinema brasileiro na América Latina, como produto de trabalho planejado e que se estendeu ao longo de anos, tendo sido representativa desse esforço a organização, pela embaixada do Brasil em Buenos Aires, da Semana do Cinema Brasileiro em 1978.;CERTO
Nos termos do Acordo de Cooperação Técnica entre o Brasil e a Comunidade do Caribe (CARICOM), firmado em 2010, os temas considerados prioritários para a cooperação entre as partes incluem agricultura, educação, saúde e energia, bem como reconstrução e desenvolvimento do Haiti.;CERTO
O Estatuto de Roma do TPI arrola como crimes contra a humanidade o desaparecimento forçado de pessoas e a perseguição de um grupo ou coletividade por motivos políticos, raciais, nacionais, étnicos, culturais, religiosos ou de gênero, quando tais atos são cometidos no quadro de um ataque, generalizado ou sistemático, contra qualquer população civil.;CERTO
;
O texto do Pacto Global para Migração Segura, Ordenada e Regular, adotado pela Assembleia Geral das Nações Unidas em 2018, reconhece como seus princípios orientadores a dimensão humana e a promoção do bem-estar de pessoas migrantes, a cooperação internacional, a promoção do desenvolvimento sustentável e a flexibilização das soberanias nacionais em favor do reconhecimento do direito humano à migração.;ERRADO
O Conselho de Paz e Segurança da União Africana segue como princípios orientadores, previstos em seu protocolo constitutivo, o respeito pela soberania e integridade territorial dos Estados membros, o respeito pelas fronteiras herdadas no momento da obtenção da independência e a não ingerência por qualquer Estado membro nos assuntos internos de outro, reservando-se o direito da União de intervir em um Estado membro caso ocorram circunstâncias graves, tais como crimes de guerra, genocídio e crimes contra a humanidade.;CERTO
Atualmente, o Brasil encontra-se entre os maiores contribuintes de tropas para operações de paz da ONU, e a maioria dos militares brasileiros desdobrados como tropas em batalhões dessas operações encontra-se no continente africano.;CERTO
O Pacto Digital Global foi adotado na Cúpula do Futuro da ONU, em setembro de 2024, como um tratado internacional que estabelece compromissos jurídicos vinculantes voltados a eliminar as brechas digitais, ampliar a inclusão na economia digital e fomentar um espaço digital inclusivo, aberto e seguro que respeite, proteja e promova os direitos humanos.;ERRADO
;
;
Na percepção do governo de Jânio Quadros (1961), a política externa brasileira deveria pautar-se pela defesa dos direitos brasileiros de maneira realista e sem alinhamentos e deveria ser própria do Brasil, não alinhada nem subsidiária da política de outros países, repousando na ideia de que estava em função de uma política nacional de desenvolvimento.;CERTO
O Protocolo de Genebra de 1925, concluído sob os auspícios da Liga das Nações, proibiu a produção, a armazenagem e a transferência de armas químicas e biológicas, mas, diante da oposição das principais potências armamentistas da época, não proibiu o uso dessas armas na guerra.;ERRADO
No campo econômico-financeiro, a presidência brasileira do BRICS em 2025 tem como algumas de suas prioridades incentivar o uso de moedas locais no comércio internacional, o desenvolvimento de meios de pagamentos internacionais e outros instrumentos de finanças sustentáveis, bem como o adensamento da cooperação tributária com vistas à taxação dos super-ricos.;ERRADO
O texto do Acordo de Paris prevê que sua denúncia tem efeito imediato a partir do recebimento, pelo secretário-geral das Nações Unidas, da notificação de denúncia por uma de suas partes, salvo se houver acordo entre as partes para que a medida surta efeitos em data posterior.;ERRADO
;
;
Na XV Reunião de Ministros das Relações Exteriores da OTCA, realizada em Paramaribo, os chanceleres reafirmaram o compromisso de intensificar esforços para limitar o aquecimento global e conclamaram os países desenvolvidos a fornecer tecnologia, recursos financeiros e capacitação aos países em desenvolvimento.;CERTO
A próxima Cúpula da OTCA está prevista para 2025 na Colômbia.;CERTO
Para assegurar que o aumento médio global da temperatura não ultrapasse 1,5º C, os países desenvolvidos deveriam antecipar metas de neutralidade climática de 2050 para 2040, segundo declarações do ministro Mauro Vieira.;CERTO
