. O Brasil defende o aumento dos gastos militares como meio de garantir a segurança internacional.;❌ Errado. O Brasil critica os altos gastos militares e defende a paz mundial, como afirmado por Lula na CARICOM.
2. O Brasil se solidarizou com o governo russo após o atentado em Moscou em março de 2024.;✅ Certo. A nota oficial expressa condolências e solidariedade ao povo e governo da Rússia.
3. O Brasil vê a desigualdade como um fator secundário nas crises globais.;❌ Errado. Lula afirma que a desigualdade é a raiz ou agravante central das crises globais.
4. A imagem da “América Invertida” é usada por Lula para criticar visões impostas ao Sul Global.;✅ Certo. Lula cita a obra para destacar a adoção de perspectivas externas que não favorecem o Sul.
5. O Brasil considera a diplomacia como uma ferramenta ultrapassada diante dos conflitos atuais.;❌ Errado. O Brasil reafirma o valor da diplomacia e do diálogo, mesmo quando estes parecem perder espaço.
6. O Brasil defende o respeito irrestrito à inviolabilidade das missões diplomáticas.;✅ Certo. Isso está expresso nas notas sobre os ataques ao consulado iraniano e à embaixada mexicana.
7. O governo brasileiro apoiou a ação do Equador contra a embaixada mexicana.;❌ Errado. O Brasil condenou firmemente a ação, por violar normas internacionais.
8. A paz mundial é considerada prioridade central da política externa brasileira.;✅ Certo. Diversos discursos reafirmam o compromisso com a paz e o repúdio às guerras.
9. O respeito à soberania dos Estados é considerado um princípio secundário pelo Brasil.;❌ Errado. O Brasil considera o respeito à soberania princípio basilar da Carta da ONU.
10. O Brasil associa as novas tecnologias à propagação de intolerância e racismo.;✅ Certo. Lula critica o uso dessas tecnologias como veículos de intolerância.
11. O Brasil vê o Sul Global como ator passivo no cenário internacional.;❌ Errado. O Brasil valoriza o protagonismo do Sul Global, como no encontro liderado por Modi.
12. O Brasil exige contenção de todos os envolvidos em conflitos, como no Oriente Médio.;✅ Certo. A nota sobre o consulado iraniano exorta todas as partes à contenção.
13. A política externa brasileira rejeita o princípio de autodeterminação dos povos.;❌ Errado. O Brasil historicamente apoia o princípio de autodeterminação.
14. O Brasil se opõe a qualquer forma de terrorismo.;✅ Certo. A nota sobre o atentado em Moscou reitera repúdio a todo e qualquer ato terrorista.
15. A Convenção de Viena é irrelevante para as posições brasileiras sobre diplomacia.;❌ Errado. O Brasil invoca explicitamente a Convenção para condenar violações diplomáticas.
16. A guerra, para o Brasil, é uma solução viável diante de impasses diplomáticos.;"❌ Errado. A guerra é vista como devastadora; o Brasil insiste na negociação."
17. O governo brasileiro considera inaceitável o uso da força contra representações diplomáticas.;✅ Certo. O ataque ao consulado iraniano foi duramente condenado.
18. Lula considera a desigualdade apenas um problema econômico.;❌ Errado. Ele a vê como raiz de múltiplas crises: sanitária, climática, alimentar, etc.
